
---

## 2. `requirements.csv` – Full traceability matrix

Copy the following CSV content into a file named `requirements.csv`. Then open in Excel and save as `.xlsx` if desired.

```csv
ID,Module,Requirement,Priority,Status
FR-SALES-RET-14,Sales - Returns,Cannot edit after adjustment,High,Approved
FR-SALES-RET-15,Sales - Returns,Status workflow (Draft → Approved → Partially Adjusted → Fully Adjusted),High,Approved
FR-SALES-RET-16,Sales - Returns,Inventory increase on restock,High,Approved
FR-SALES-RET-17,Sales - Returns,Restock/Damaged/Write-off options,High,Approved
FR-SALES-RET-18,Sales - Returns,Create from Invoice,High,Approved
FR-SALES-RP-01,Sales - Receive Payment,List filters (Number, Date, Customer, Reference, Total Amount, Unadjusted Amount, Status),High,Approved
FR-SALES-RP-02,Sales - Receive Payment,Bulk entry separate,Medium,Approved
FR-SALES-RP-03,Sales - Receive Payment,Auto-number RM-XXXXXX,High,Approved
FR-SALES-RP-04,Sales - Receive Payment,Customer mandatory,High,Approved
FR-SALES-RP-05,Sales - Receive Payment,Multiple payment modes (Cash, Cheque, Bank Transfer, Credit Card),High,Approved
FR-SALES-RP-06,Sales - Receive Payment,Multiple instruments per payment,High,Approved
FR-SALES-RP-07,Sales - Receive Payment,Account adjustments (WHT, rebate, bank charges),High,Approved
FR-SALES-RP-08,Sales - Receive Payment,Total amount calc,High,Approved
FR-SALES-RP-09,Sales - Receive Payment,Attachments,Low,Approved
FR-SALES-RP-10,Sales - Receive Payment,Allocation to invoices,High,Approved
FR-SALES-RP-11,Sales - Receive Payment,Bulk entry table,Medium,Approved
FR-SALES-RP-12,Sales - Receive Payment,Auto settlements checkbox,Medium,Approved
FR-SALES-RP-13,Sales - Receive Payment,Multiple payment methods,High,Approved
FR-SALES-RP-14,Sales - Receive Payment,Save and approve,High,Approved
FR-SALES-RP-15,Sales - Receive Payment,Allocate to one/multiple invoices,High,Approved
FR-SALES-RP-16,Sales - Receive Payment,Updates invoice balances and status,High,Approved
FR-SALES-RP-17,Sales - Receive Payment,Unallocated = customer credit,High,Approved
FR-SALES-RP-18,Sales - Receive Payment,Editable until applied,High,Approved
FR-SALES-RP-19,Sales - Receive Payment,Print receipt with details,Low,Approved
FR-SALES-RF-01,Sales - Refunds,List filters (Number, Date, Customer, Reference, Total Amount, Unadjusted Amount, Status),High,Approved
FR-SALES-RF-02,Sales - Refunds,Auto-number CR-XXXXXX,High,Approved
FR-SALES-RF-03,Sales - Refunds,Customer mandatory,High,Approved
FR-SALES-RF-04,Sales - Refunds,Multiple instruments,High,Approved
FR-SALES-RF-05,Sales - Refunds,Refund methods (Cash, Cheque, Bank Transfer),High,Approved
FR-SALES-RF-06,Sales - Refunds,Account adjustments,High,Approved
FR-SALES-RF-07,Sales - Refunds,Total amount calc,High,Approved
FR-SALES-RF-08,Sales - Refunds,Attachments,Low,Approved
FR-SALES-RF-09,Sales - Refunds,Create from Return, overpayment, or credit,High,Approved
FR-SALES-RF-10,Sales - Refunds,Return linkage reduces Unadjusted Amount,High,Approved
FR-SALES-RF-11,Sales - Refunds,Overpayment refund limits,High,Approved
FR-SALES-RF-12,Sales - Refunds,Reduces customer credit balance,High,Approved
FR-SALES-RF-13,Sales - Refunds,Status workflow (Draft → Approved → Completed / Cancelled),High,Approved
FR-SALES-RF-14,Sales - Refunds,Completed refunds cannot be edited,High,Approved
FR-SALES-STL-01,Sales - Settlements,List filters (Number, Date, Customer, Total Amount, Status),High,Approved
FR-SALES-STL-02,Sales - Settlements,Print & Export to Excel,Low,Approved
FR-SALES-STL-03,Sales - Settlements,Auto-number CS-XXXXXX,High,Approved
FR-SALES-STL-04,Sales - Settlements,Customer mandatory,High,Approved
FR-SALES-STL-05,Sales - Settlements,Make auto settlements checkbox,Medium,Approved
FR-SALES-STL-06,Sales - Settlements,Receivables table (open invoices),High,Approved
FR-SALES-STL-07,Sales - Settlements,Manual allocation,High,Approved
FR-SALES-STL-08,Sales - Settlements,Auto settlement logic,High,Approved
FR-SALES-STL-09,Sales - Settlements,Partial settlement allowed,High,Approved
FR-SALES-STL-10,Sales - Settlements,Updates invoice balances,High,Approved
FR-SALES-STL-11,Sales - Settlements,Void/cancellation,High,Approved
FR-SALES-STL-12,Sales - Settlements,Audit trail,High,Approved
FR-SALES-STL-13,Sales - Settlements,Write-off support,Medium,Approved
FR-SALES-STL-14,Sales - Settlements,Close customer account,High,Approved
FR-PUR-01,Purchases - Navigation,7 sub-modules (Order, Good Receiving, Invoice, Import Invoice, Return, Make Payment, Refund, Settlement),High,Approved
FR-PUR-PO-01,Purchases - Orders,List filters (Number, Date, Vendor, Reference, Receipt Date, Gross, Net, Status),High,Approved
FR-PUR-PO-02,Purchases - Orders,Auto-number PO-XXXXXX,High,Approved
FR-PUR-PO-03,Purchases - Orders,Vendor mandatory,High,Approved
FR-PUR-PO-04,Purchases - Orders,Line items with auto-calc,High,Approved
FR-PUR-PO-05,Purchases - Orders,Quick Add Products / Scan,High,Approved
FR-PUR-PO-06,Purchases - Orders,Gross total calc,High,Approved
FR-PUR-PO-07,Purchases - Orders,Net total calc,High,Approved
FR-PUR-PO-08,Purchases - Orders,Attachments,Low,Approved
FR-PUR-PO-09,Purchases - Orders,Expected Receipt Date,Medium,Approved
FR-PUR-PO-10,Purchases - Orders,Barcode scanning popup,High,Approved
FR-PUR-PO-11,Purchases - Orders,Link to Good Receiving,High,Approved
FR-PUR-PO-12,Purchases - Orders,Track received quantity,High,Approved
FR-PUR-PO-13,Purchases - Orders,Partial receipts allowed,High,Approved
FR-PUR-PO-14,Purchases - Orders,Status workflow (Draft → Sent → Partially Received → Received),High,Approved
FR-PUR-GR-01,Purchases - Good Receiving,List filters (Number, Date, Vendor, Reference, Warehouse, Status),High,Approved
FR-PUR-GR-02,Purchases - Good Receiving,Export to Excel,Low,Approved
FR-PUR-GR-03,Purchases - Good Receiving,Auto-number GR-XXXXXX,High,Approved
FR-PUR-GR-04,Purchases - Good Receiving,Vendor mandatory,High,Approved
FR-PUR-GR-05,Purchases - Good Receiving,Warehouse selection,High,Approved
FR-PUR-GR-06,Purchases - Good Receiving,Link to Purchase Order,High,Approved
FR-PUR-GR-07,Purchases - Good Receiving,Cannot exceed PO quantities,High,Approved
FR-PUR-GR-08,Purchases - Good Receiving,Barcode scanning,High,Approved
FR-PUR-GR-09,Purchases - Good Receiving,Inventory increase,High,Approved
FR-PUR-GR-10,Purchases - Good Receiving,Update PO received_quantity,High,Approved
FR-PUR-GR-11,Purchases - Good Receiving,Update PO status (Partially Received / Received),High,Approved
FR-PUR-GR-12,Purchases - Good Receiving,Direct receipt without PO,Medium,Approved
FR-PUR-GR-13,Purchases - Good Receiving,Auto-create Invoice option,Medium,Approved
FR-PUR-GR-14,Purchases - Good Receiving,Inventory increase on confirm,High,Approved
FR-PUR-GR-15,Purchases - Good Receiving,Reversal on cancel,High,Approved
FR-PUR-INV-01,Purchases - Invoices,List filters (Number, Date, Vendor, Reference, Due Date, Net, Balance, Status),High,Approved
FR-PUR-INV-02,Purchases - Invoices,Bulk approval,Medium,Approved
FR-PUR-INV-03,Purchases - Invoices,Print & Export to Excel,Low,Approved
FR-PUR-INV-04,Purchases - Invoices,Overdue auto-calculation,High,Approved
FR-PUR-INV-05,Purchases - Invoices,Auto-number PI-XXXXXX,High,Approved
FR-PUR-INV-06,Purchases - Invoices,Vendor mandatory,High,Approved
FR-PUR-INV-07,Purchases - Invoices,Due Date based on vendor terms,High,Approved
FR-PUR-INV-08,Purchases - Invoices,Line items with auto-calc,High,Approved
FR-PUR-INV-09,Purchases - Invoices,Gross total calc,High,Approved
FR-PUR-INV-10,Purchases - Invoices,Net with discount,High,Approved
FR-PUR-INV-11,Purchases - Invoices,Barcode scanning,High,Approved
FR-PUR-INV-12,Purchases - Invoices,Create from PO, GR, or direct,High,Approved
FR-PUR-INV-13,Purchases - Invoices,Partial invoicing from PO,High,Approved
FR-PUR-INV-14,Purchases - Invoices,Consolidate multiple GRs,Medium,Approved
FR-PUR-INV-15,Purchases - Invoices,Payment allocation updates status,High,Approved
FR-PUR-INV-16,Purchases - Invoices,Overdue auto-flagging,High,Approved
FR-PUR-INV-17,Purchases - Invoices,Cannot delete if payments exist,High,Approved
FR-PUR-INV-18,Purchases - Invoices,Debit Notes reduce balance,High,Approved
FR-PUR-II-01,Purchases - Import Invoices,List filters (Number, Date, Vendor, Reference, Due Date, Net, Balance, Status),High,Approved
FR-PUR-II-02,Purchases - Import Invoices,Export to Excel,Low,Approved
FR-PUR-II-03,Purchases - Import Invoices,Auto-number II-XXXXXX,High,Approved
FR-PUR-II-04,Purchases - Import Invoices,Vendor mandatory,High,Approved
FR-PUR-II-05,Purchases - Import Invoices,Line items with expense allocation columns,High,Approved
FR-PUR-II-06,Purchases - Import Invoices,Percentage total = 100% validation,High,Approved
FR-PUR-II-07,Purchases - Import Invoices,Expenses section (duty, freight, insurance),High,Approved
FR-PUR-II-08,Purchases - Import Invoices,TOTAL NEW VALUE = landed cost,High,Approved
FR-PUR-II-09,Purchases - Import Invoices,Expenses as fixed amounts or percentages,High,Approved
FR-PUR-II-10,Purchases - Import Invoices,Expense distribution validation,High,Approved
FR-PUR-II-11,Purchases - Import Invoices,Updates product cost basis,High,Approved
FR-PUR-II-12,Purchases - Import Invoices,Linked to PO/GR/Invoice,High,Approved
FR-PUR-PRT-01,Purchases - Returns,List filters (Number, Date, Vendor, Reference, Net Amount, Unadjusted Amount, Status),High,Approved
FR-PUR-PRT-02,Purchases - Returns,Auto-number PR-XXXXXX,High,Approved
FR-PUR-PRT-03,Purchases - Returns,Vendor mandatory,High,Approved
FR-PUR-PRT-04,Purchases - Returns,Line items with auto-calc,High,Approved
FR-PUR-PRT-05,Purchases - Returns,Barcode scanning,High,Approved
FR-PUR-PRT-06,Purchases - Returns,Attachments,Low,Approved
FR-PUR-PRT-07,Purchases - Returns,Link to original Invoice,High,Approved
FR-PUR-PRT-08,Purchases - Returns,Apply credit to invoices, refund, or credit,High,Approved
FR-PUR-PRT-09,Purchases - Returns,Unadjusted Amount tracking,High,Approved
FR-PUR-PRT-10,Purchases - Returns,Reduces invoice Balance Amount,High,Approved
FR-PUR-PRT-11,Purchases - Returns,Cannot edit after adjustment,High,Approved
FR-PUR-PRT-12,Purchases - Returns,Status workflow (Draft → Approved → Partially Adjusted → Fully Adjusted),High,Approved
FR-PUR-PRT-13,Purchases - Returns,Inventory decrease on restock,High,Approved
FR-PUR-PRT-14,Purchases - Returns,Restock/Damaged/Write-off options,High,Approved
FR-PUR-PRT-15,Purchases - Returns,Create from Invoice,High,Approved
FR-PUR-MP-01,Purchases - Make Payment,List filters (Number, Date, Vendor, Reference, Total Amount, Unadjusted Amount, Status),High,Approved
FR-PUR-MP-02,Purchases - Make Payment,Auto-number PY-XXXXXX,High,Approved
FR-PUR-MP-03,Purchases - Make Payment,Vendor mandatory,High,Approved
FR-PUR-MP-04,Purchases - Make Payment,Multiple payment modes,High,Approved
FR-PUR-MP-05,Purchases - Make Payment,Multiple instruments per payment,High,Approved
FR-PUR-MP-06,Purchases - Make Payment,Account adjustments (WHT, rebate, bank charges),High,Approved
FR-PUR-MP-07,Purchases - Make Payment,Total amount calc,High,Approved
FR-PUR-MP-08,Purchases - Make Payment,Attachments,Low,Approved
FR-PUR-MP-09,Purchases - Make Payment,Allocation to invoices,High,Approved
FR-PUR-MP-10,Purchases - Make Payment,Updates invoice balances and status,High,Approved
FR-PUR-MP-11,Purchases - Make Payment,Unallocated = vendor credit,High,Approved
FR-PUR-MP-12,Purchases - Make Payment,Status workflow,High,Approved
FR-PUR-VR-01,Purchases - Refunds,List filters (Number, Date, Vendor, Reference, Total Amount, Unadjusted Amount, Status),High,Approved
FR-PUR-VR-02,Purchases - Refunds,Auto-number VR-XXXXXX,High,Approved
FR-PUR-VR-03,Purchases - Refunds,Vendor mandatory,High,Approved
FR-PUR-VR-04,Purchases - Refunds,Multiple instruments,High,Approved
FR-PUR-VR-05,Purchases - Refunds,Refund methods,High,Approved
FR-PUR-VR-06,Purchases - Refunds,Account adjustments,High,Approved
FR-PUR-VR-07,Purchases - Refunds,Total amount calc,High,Approved
FR-PUR-VR-08,Purchases - Refunds,Attachments,Low,Approved
FR-PUR-VR-09,Purchases - Refunds,Create from Return, overpayment, or credit,High,Approved
FR-PUR-VR-10,Purchases - Refunds,Return linkage reduces Unadjusted Amount,High,Approved
FR-PUR-VR-11,Purchases - Refunds,Reduces vendor credit balance,High,Approved
FR-PUR-VR-12,Purchases - Refunds,Status workflow,High,Approved
FR-PUR-VS-01,Purchases - Settlements,List filters (Number, Date, Vendor, Total Amount, Status),High,Approved
FR-PUR-VS-02,Purchases - Settlements,Auto-number VS-XXXXXX,High,Approved
FR-PUR-VS-03,Purchases - Settlements,Vendor mandatory,High,Approved
FR-PUR-VS-04,Purchases - Settlements,Make auto settlements checkbox,Medium,Approved
FR-PUR-VS-05,Purchases - Settlements,Payables table (open purchase invoices),High,Approved
FR-PUR-VS-06,Purchases - Settlements,Manual allocation,High,Approved
FR-PUR-VS-07,Purchases - Settlements,Auto settlement logic,High,Approved
FR-PUR-VS-08,Purchases - Settlements,Partial settlement allowed,High,Approved
FR-PUR-VS-09,Purchases - Settlements,Updates invoice balances,High,Approved
FR-PUR-VS-10,Purchases - Settlements,Void/cancellation,High,Approved
FR-PUR-VS-11,Purchases - Settlements,Audit trail,High,Approved
FR-PUR-VS-12,Purchases - Settlements,Write-off support,Medium,Approved
FR-POS-01,POS - Navigation,5 sub-modules (Checkout Counter, Delivery Counter, POS Offline, Barcode/QR Code, Daily Summary),High,Approved
FR-POS-CC-01,POS - Checkout Counter Setup,List columns (Name, Cash Account, Warehouse, Status),High,Approved
FR-POS-CC-02,POS - Checkout Counter Setup,Search functionality,Medium,Approved
FR-POS-CC-03,POS - Checkout Counter Setup,Name mandatory & unique,High,Approved
FR-POS-CC-04,POS - Checkout Counter Setup,Warehouse selection,High,Approved
FR-POS-CC-05,POS - Checkout Counter Setup,Cash Account selection,High,Approved
FR-POS-CC-06,POS - Checkout Counter Setup,POS Invoice Series,High,Approved
FR-POS-CC-07,POS - Checkout Counter Setup,Sale Return Series,High,Approved
FR-POS-CC-08,POS - Checkout Counter Setup,Add new series on the fly,Medium,Approved
FR-POS-CC-09,POS - Checkout Counter Setup,POS Search setting,Medium,Approved
FR-POS-CC-10,POS - Checkout Counter Setup,Primary Search setting,Medium,Approved
FR-POS-CC-11,POS - Checkout Counter Setup,Status (Active/Inactive),High,Approved
FR-POS-CC-12,POS - Checkout Counter Check-in,Check-in before POS use,High,Approved
FR-POS-CC-13,POS - Checkout Counter Check-in,Help text explanation,Low,Approved
FR-POS-CC-14,POS - Checkout Counter Check-in,Search filter,Medium,Approved
FR-POS-CC-15,POS - Checkout Counter Check-in,CHECK IN button per counter,High,Approved
FR-POS-CC-16,POS - Checkout Counter Check-in,One user per counter maximum,High,Approved
FR-POS-CC-17,POS - Checkout Counter Check-in,Error if already checked in,High,Approved
FR-POS-CC-18,POS - Checkout Counter Check-in,Redirect to POS after success,High,Approved
FR-POS-CC-19,POS - Checkout Counter Check-in,End shift reconciliation,High,Approved
FR-POS-CC-20,POS - Checkout Counter Check-in,Auto-checkout on inactivity,Medium,Approved
FR-POS-CC-21,POS - Checkout Counter Check-in,Admin force check-out,Medium,Approved
FR-POS-CC-22,POS - Checkout Counter Check-in,Shift record with cash tracking,High,Approved
FR-POS-DC-01,POS - Delivery Counter Setup,List display with Name and Action,High,Approved
FR-POS-DC-02,POS - Delivery Counter Setup,Search functionality,Medium,Approved
FR-POS-DC-03,POS - Delivery Counter Setup,Name mandatory & unique,High,Approved
FR-POS-DC-04,POS - Delivery Counter Setup,Product Categories selection,High,Approved
FR-POS-DC-05,POS - Delivery Counter Setup,Status (Active/Inactive),High,Approved
FR-POS-DC-06,POS - Delivery Counter Setup,Warehouse link (implied),High,Approved
FR-POS-DC-07,POS - Delivery Counter Workflow,Purpose (phone/online orders),High,Approved
FR-POS-DC-08,POS - Delivery Counter Workflow,Category restriction,High,Approved
FR-POS-DC-09,POS - Delivery Counter Interface,Address, time slot, status tracking,High,Approved
FR-POS-OFF-01,POS - Offline,Keep selling without internet,High,Approved
FR-POS-OFF-02,POS - Offline,3-step setup (Subscribe → Download → Install),High,Approved
FR-POS-OFF-03,POS - Offline,Initial sync (products, taxes, customers),High,Approved
FR-POS-OFF-04,POS - Offline,Local queue with temporary IDs,High,Approved
FR-POS-OFF-05,POS - Offline,Auto-sync on reconnect,High,Approved
FR-POS-OFF-06,POS - Offline,Limitations (inventory, credit checks, etc.),Medium,Approved
FR-POS-OFF-07,POS - Offline,Connection status indicator,Medium,Approved
FR-POS-BC-01,POS - Barcode/QR Code,Barcode templates list,High,Approved
FR-POS-BC-02,POS - Barcode/QR Code,Template name mandatory,High,Approved
FR-POS-BC-03,POS - Barcode/QR Code,Page layout settings (width, gaps, margins),High,Approved
FR-POS-BC-04,POS - Barcode/QR Code,Barcode format (CODE128, QR, etc.),High,Approved
FR-POS-BC-05,POS - Barcode/QR Code,Real-time preview,High,Approved
FR-POS-BC-06,POS - Barcode/QR Code,Print dialog with sheet count,High,Approved
FR-POS-BC-07,POS - Barcode/QR Code,Printer selection and copies,High,Approved
FR-POS-DS-01,POS - Daily Summary,List columns (Date, Counter, Start Time, End Time, Opening Cash, Cash In, Sales, Cash, Card, Bank Transfer, Credit Sale),High,Approved
FR-POS-DS-02,POS - Daily Summary,Cash reconciliation with variance,High,Approved
FR-POS-DS-03,POS - Daily Summary,Drill-down to shift details,High,Approved
FR-POS-DS-04,POS - Daily Summary,X-Report and Z-Report,High,Approved
FR-ACC-EXP-01,Accounts - Expenses,List filters (Number, Date, Reference, Contact, Pay From, Comments, Gross, Net, Status),High,Implemented
FR-ACC-EXP-02,Accounts - Expenses,Auto-number E-XXXXXX,High,Implemented
FR-ACC-EXP-03,Accounts - Expenses,Pay From mandatory,High,Implemented
FR-ACC-EXP-04,Accounts - Expenses,Multiple expense line items,High,Implemented
FR-ACC-EXP-05,Accounts - Expenses,Expense Account search from COA,High,Implemented
FR-ACC-EXP-06,Accounts - Expenses,Gross total calc,High,Implemented
FR-ACC-EXP-07,Accounts - Expenses,Attachments support,Low,Approved
FR-ACC-EXP-08,Accounts - Expenses,Journal entry (Debit Expense, Credit Bank/Cash),High,Implemented
FR-ACC-JE-01,Accounts - Journal Entry,List filters (Number, Date, Memo, Reference, Amount, Status),High,Implemented
FR-ACC-JE-02,Accounts - Journal Entry,Export to Excel,Low,Approved
FR-ACC-JE-03,Accounts - Journal Entry,Auto-number JE-XXXXXX,High,Implemented
FR-ACC-JE-04,Accounts - Journal Entry,Debit = Credit validation,High,Implemented
FR-ACC-JE-05,Accounts - Journal Entry,Account search from COA,High,Implemented
FR-ACC-JE-06,Accounts - Journal Entry,Total display,High,Implemented
FR-ACC-JE-07,Accounts - Journal Entry,Memo mandatory,High,Implemented
FR-ACC-JE-08,Accounts - Journal Entry,Attachments,Low,Approved
